88;Greek Garden;Rock Island Ave., east of Administration Building;41.594998;-93.552338
89;Greek Garden;Front of Varied Industries;41.595524;-93.555112
91;Griffin;Rock Island Ave., east of Administration Building;41.595251;-93.552247
90;Griffin;Grand Ave., front of Midway;41.595821;-93.552253
219;Griffin;East of Varied Industries;41.594766;-93.553985
92;Griffin;Small Triangle, south of Service Center;41.594994;-93.553653
80;Hando;Buckskinner Camp in Heritage Village;41.596583;-93.548573
94;Hawaiian Shaved Ice;Rock Island Ave., east of Riley Stage;41.594706;-93.552317
95;Hill;Grand Ave., front side of Grandstand;41.595532;-93.554618
97;Hockridge;Small Triangle, southwest of Service Center;41.59487;-93.553749
96;Hockridge;Front of Midway, southwest of Sky Glider;41.595829;-93.552017
99;Hoppy's;North entrance of Cattle Barn;41.593482;-93.551925
104;Hotchkiss;Front of Varied Industries;41.595516;-93.555595
102;Hotchkiss;Rock Island Ave.;41.593795;-93.551866
100;Hotchkiss;Grand Ave.;41.595793;-93.556995
105;Hotchkiss;South of Service Center;41.595162;-93.553835
103;Hotchkiss;Next to Farm Bureau Park;41.595099;-93.55384
101;Hotchkiss;Heritage Village;41.596134;-93.549184
106;Iowa Craft Beer Tent;Rock Island Ave.;41.593683;-93.552411
107;Iowa Egg Council;Agriculture Building, main floor;41.595199;-93.550957
108;Iowa Fruit & Vegetable Growers;Agriculture Building, main floor;41.595043;-93.551137
109;Iowa Honey Producers;Ag Building, balcony;41.595343;-93.550627
208;Iowa Orchard;Agriculture Building;41.595087;-93.551297
110;Iowa Pork Producers;Grand Ave., east of Old Mill;41.595997;-93.550327
111;Iowa Pork Producers;Rock Island Ave.;41.593771;-93.552290
112;Iowa Sheep Industry;East side of Sheep Barn;41.592026;-93.552295
113;Iowa State Fair (Fair Squares);Northwest of Administration Building on Grand Ave.;41.595456;-93.553384
114;Iowa Turkey Federation;West side of Riley Stage;41.594561;-93.553830
115;Iowa Wine Growers Assn.;West of Grandfather's Barn;41.594357;-93.54742
117;Jalapeno Pete's;Grand Ave., front of Midway;41.595973;-93.552751
118;Jennie's Original State Fair;South of Service Center;41.595091;-93.553508
116;JR Mini Donuts;West side of Triangle, east of Administration Building;41.595464;-93.552124
119;K&JS Enterprises;Bud Tent;41.59276;-93.556834
120;K&JS Enterprises;Jacobson Center;41.592708;-93.555546
121;K's Concessions;East of Administration Building on Triangle;41.595516;-93.552043
215;Keul, Filliman & Campbell;Northeast corner of Horse Barn;41.593081;-93.552531
123;Keul, Filliman & Campbell;Varied Industries;41.595524;-93.554833
124;Kinnear;North side of sidewalk on Triangle;41.595636;-93.551711
125;Kirke;Grand Ave., front of Varied Industries;41.595528;-93.554747
127;Koepp Nut Rolls;West side of Triangle;41.595235;-93.552049
128;Koepp Nut Rolls;Walnut Square;41.594064;-93.553395
231;Leimon's Pizzeria;West of Jacobson Exhibition Center;41.593001;-93.556587
130;Leimon's Pizzeria;East of Varied Industries;41.594994;-93.554152
129;Leimon's Pizzeria;Front of Swine Barn;41.592134;-93.551909
222;McBurney;South of Riley Stage;41.594188;-93.5531
132;McConnell;Small Triangle;41.594866;-93.553857
133;McConnell;North side of Grand Ave. in Heritage Village;41.596025;-93.549828
134;McConnell;East of Gate 10 by Sky Glider;41.593795;-93.557354
135;McConnell;Grand Ave.;41.595528;-93.554538
136;McConnell;Triangle;41.595544;-93.551636
138;McConnell;Walnut Square;41.594100;-93.553116
137;McConnell;East of Varied Industries;41.594986;-93.554312
139;McKinney-Greater Tater;West of Riley Stage;41.594248;-93.553862
140;Midwest Dairy Assoc.;North side of Cattle Barn;41.593474;-93.551711
141;Midwest Dairy Assoc.;Ag Building;41.595251;-93.551174
142;Mitchell;Outer perimeter of Livestock Pavillion;41.593879;-93.551791
144;Newell's Concessions;Rock Island Ave.;41.594970;-93.552328
143;Nitro Ice Cream;Shopper's Mart;41.596182;-93.555077
147;Old Fashioned Lemonade;Front of Swine Barn;41.592206;-93.551909
148;Old Tyme Kettle Korn;Heritage Village;41.596318;-93.548814
233;Old Type Kettle Korn;West of Jacobson Exhibition Center;41.592592;-93.556512
149;Old-West Bar-B-Q;Rock Island Ave., west of Cattle Barn;41.593358;-93.552446
150;Old-West Bar-B-Q;Heritage Village;41.59658;-93.548486
214;Oz Concessions;East side of Varied Industries;41.594646;-93.554323
212;Oz Concessions;Northwest corner of Varied Industries;41.595496;-93.556297
213;Oz Concessions;Southeast of Administration Building;41.594838;-93.552402
211;Oz Concessions;Southeast corner of Varied Industries;41.594935;-93.556453
154;Palazzo's Chicken Coop;North of Little Hands on the Farm;41.597686;-93.551022
155;Palazzo's Java House;Between Pioneer Hall and Museum;41.595721;-93.547307
156;Palazzo's Java House;East side of Riley Stage;41.594236;-93.552306
216;Parlo Pizza, LLC;on the hill by Grandfather's Barn;41.594333;-93.547317
157;Peterman;North side of western door to Pioneer Hall;41.595624;-93.547671
158;Pinkley;Fun Forest;41.594994;-93.549393
159;Quesadilla Junction;West of Jacobson Exhibition Center;41.593037;-93.556147
160;Schuler;Front of Cattle Barn;41.593450;-93.551915
161;Sisters American Grill;Front of Varied Industries;41.595548;-93.554795
162;Slush City;East of Varied Industries;41.594681;-93.554337
163;Slush Factory;West of Giant Slide;41.593879;-93.553884
164;Smith's Concessions;Rock Island Ave., east side of Riley Stage;41.594786;-93.552338
165;Soukup (Po Boy);West of Riley Stage;41.594332;-93.55369
166;Soukup (Po Boy);Rock Island Ave.;41.593614;-93.552295
167;Steer & Stein;Grand Ave.;41.596017;-93.553122
168;Stockman's Inn;Southwest corner of Cattle Barn;41.592668;-93.551797
171;The Best Around;Southeast corner of Horse Barn;41.592419;-93.552344
172;The Best Around;South of Des Moines Register Service Center;41.594922;-93.553980
173;The Best Around;South side of sidewalk on Triangle;41.595548;-93.551775
174;The Bird's Nest;East of Fairview Stage;41.594613;-93.549506
175;The Depot;Grand Ave., west end of Varied Industries;41.595488;-93.556571
176;The Dinner Bell;Northwest corner of Swine Barn;41.592379;-93.551899
177;The Jerky Shoppe;Ag Building balcony;41.595524;-93.550788
178;The Rib Shack;North side of Walnut Square;41.594100;-93.553296
180;The Salad Bowl;Courtyard of Cultural Center;41.594292;-93.548986
179;The Salad Bowl;Balcony of Ag Building;41.595211;-93.550965
181;Tigner;East of Riley Stage;41.594497;-93.552317
182;Tom Thumb Donut;Southwest of Administration Building;41.594982;-93.553728
183;Tsing Tsao;Front of Ag Building;41.595039;-93.551759
186;Turkey Time Concessions;Triangle;41.595536;-93.552135
185;Turkey Time Concessions;Stalling Barn;41.592018;-93.548358
184;Turkey Time Concessions;Grand Ave.;41.595885;-93.555214
187;Turkey Time Concessions;Walnut Square;41.5941;-93.553658
232;Turkey Time Concessions;West of Jacobson Exhibition Center;41.592552;-93.556136
188;Vannausdle;Northwest of Riley Stage;41.594810;-93.553851
189;Veggie-Table;North side of Varied Industries;41.595524;-93.555434
190;WDM United Methodist Men;Northeast corner of Sheep Barn;41.592475;-93.552312
192;Wells;North side of sidewalk on Triangle;41.595632;-93.551577
195;Westmoreland;South of Riley Stage;41.5942;-93.553401
194;Westmoreland;Heritage area by Knapp Stage;41.596178;-93.549095
196;Westmoreland;Varied Industries;41.595524;-93.554956
198;Wok N Roll;West of Riley Stage;41.594409;-93.553840
199;Wood;Southwest of Administration Building;41.595087;-93.553387
200;Wooden Shoe;Front of Varied Industries;41.595516;-93.555868
201;Xtreme Tenderloins;On Rock Island Ave., east of Riley Stage;41.594493;-93.552325
BREAK
1;unsweetened apple juice;8;Ounces;248;114;0;0;0;0;28;1;24;0;10
2;potato with skin, plain;1;Large;299;290;0;0;-1;0;64;7;3;8;42
3;3.5 oz beef, 1/4 cup sauce, large bun;1;Sandwich;250;579;13;4;0;107;68;2;21;44;1057
4;4 oz pork, 1/4 cup sauce, large bun;1;Sandwich;264;606;17;5;0;100;68;2;21;43;1066
6;Beer;16;Ounces;475;204;0;0;0;0;17;0;0;2;19
7;whole onion battered & fried, no dip;1;Onion;-1;1950;127;48;4;104;115;15;-1;18;4099
8;5-6" Brat sandwich loaded with toppings;1;Each;338;577;31;10;0;66;52;5;14;22;2212
9;2" square, no icing;1;Each;28;113;5;1;-1;4;18;-1;-1;1;71
10;Latte with 2% milk;12;Ounces;352;150;6;4;0;25;14;0;13;10;115
11;3" apple with 1/4 cup caramel;1;Serving;262;400;7;2;0;6;87;4;71;4;198
12;;4;Cup;120;520;14;6;-1;0;96;4;64;4;200
13;1/2 oz cheese per fried curd;1;Curd;-1;102;8;4;0;29;3;0;0;4;147
14;3-4 oz mozzarella, battered & fried;1;Each;149;447;30;12;0;78;16;0;2;29;891
15;1 oz chicken, battered & deep fried;1;Strip;47;129;7;1;0;24;6;1;0;10;446
16;5 oz chicken, grilled veg & cheese, 6-7" bun;1;Sandwich;530;751;19;8;0;162;78;8;12;67;2791
17;4 oz grilled chic, bun, 1T each mustard & mayo;1;Sandwich;188;393;13;2;0;106;36;1;8;38;849
18;hot dog, w/ chili & bun;1;Each;114;296;13;5;-1;51;31;-1;-1;14;480
19;5-6 oz chicken in sauce & 1 c plain rice;1;Serving;311;605;20;4;0;90;87;1;18;19;642
20;3 oz cheesecake dipped in 2 tbsp chocolate;1;Serving;116;434;30;14;-1;47;40;2;34;6;179
21;4" cinnamon roll with icing;1;Each;162;595;26;7;6;55;84;4;36;9;659
